,k=8,k=6,k=4,k=2
MLPSimpleLayers,0.7304336230869722,0.7468484981028212,0.8281016198783778,0.9328456678714456
AdvSimpleLayers,0.7420039533011112,0.7440566541727972,0.826451760233685,0.9367857666831948
WhtSimpleLayers,0.7403340141812936,0.7506833323342431,0.8210578510689963,0.9312659267370761
QVKSimpleLayers,0.7091984742567815,0.7286057501204355,0.7912807765938884,0.9238984852851252
LSTMSimpleLayers,0.725612564720142,0.7491934489125184,0.8141300354030921,0.9358938480112527
TransformerSimpleLayers,0.7455228727808247,0.750908358782473,0.8358098010298761,0.9313981396436378
randomForest,0.8238987781665763,0.8436070244708511,0.8793144669011842,0.9673692619009872
xgBoost,0.831004732631044,0.8491928932878766,0.8805397535549654,0.9688404309369493
deepForest,0.8244511615050015,0.8414605167006997,0.880085130202398,0.9673796942700593
xgBoostAdv0Layer,0.7948761571772088,0.7918459694120118,0.8362184523540358,0.9129128484620459
xgBoostLSTM0Layer,0.8173550350376392,0.81649489977418,0.8770807351917704,0.9176053184938002
xgBoostLSTM0LayerSimpleLayers,0.8020388575860977,0.8135203985262667,0.8481962858474681,0.936572017910226
