,2prec_macro,2recall_macro,4prec_macro,4recall_macro,6prec_macro,6recall_macro,8prec_macro,8recall_macro
MLPSimpleLayers,0.9480237522780873,0.9177818363549406,0.6929826170451042,0.6202929927252755,0.4120480314784775,0.41180783537617577,0.3246095196407027,0.3504540361054664
AdvSimpleLayers,0.9497122927412459,0.922759914941039,0.7093440894286721,0.6510338894428467,0.4324146836479854,0.440105201216687,0.40750400628635725,0.38681754820922637
WhtSimpleLayers,0.9471429324018876,0.9159604161165521,0.6238720097872706,0.6060366779448759,0.44402192406458313,0.4629637323736329,0.44079199075201975,0.41342495847486843
QVKSimpleLayers,0.9340056277293294,0.9119082486423306,0.7115164846012867,0.5962446461846881,0.47733896776352935,0.41933411025975714,0.3193639214607185,0.3444054086978195
LSTMSimpleLayers,0.9432178766648701,0.9233424273368586,0.6271692410535746,0.6375502032941439,0.4567983927770256,0.45342460640850346,0.3418085286119034,0.3445589030256851
TransformerSimpleLayers,0.9404813513680779,0.9182918036590789,0.7274158304722153,0.7206924228939928,0.41842987383434854,0.4206902935765578,0.4016906421673028,0.39254250009938046
rotationForest,0.9448374513861767,0.9435240028260656,0.730580548860289,0.7414981304850855,0.6251288366376314,0.6301525219856229,0.5534715251368666,0.548859833152207
randomForest,0.9688451075025495,0.962832335614023,0.785090620990417,0.7937023381864715,0.6643748206462531,0.6680610638110421,0.5799916231197081,0.5750479712651932
xgBoost,0.9706304631304872,0.9642635327994536,0.7862265252661667,0.7946156671656978,0.6678212488260837,0.6640721104254169,0.5864348404024409,0.5834425461089651
lightGBM,0.969877747026097,0.9636120060690349,0.7863357838678712,0.793685106198839,0.6631147521926877,0.6629502574581138,0.5813125866896517,0.580485671986267
deepForest,0.9692517263359647,0.9625399276149239,0.7849481402727827,0.7941265156139824,0.6604256153260345,0.6629755331115992,0.5813373941375938,0.5824121599486075
deepForestCost,0.0,0.0,0.7820514414323695,0.7874347580446335,0.6627095833372965,0.6664644510197101,0.5839225738312925,0.5830371749741262
xgBoostAdv0LayerSimpleLayers,0.9047886344834556,0.9124230735940738,0.7799117055333976,0.7888062730305719,0.6853362593459842,0.6854707014802904,0.5868900076027327,0.5830338597767079
xgBoostLSTM0Layer,0.915106442112852,0.9228238798394813,0.7844022937234175,0.7958910063088381,0.6852434597761317,0.6974958643042583,0.6062388743518445,0.6036588699556246
xgBoostLSTM0LayerSimpleLayers,0.9198659378325597,0.9289444234203504,0.7858664694093885,0.8168035261043937,0.6632780549147405,0.6710085512144931,0.6057760119647362,0.5919454242101799
